1A,1B,1D,1E,1G,1I,1K,1L,qualified_thirds
3H,3J,3B,3A,3I,3G,3L,3K,ABGHIJKL
3H,3J,3B,3A,3I,3F,3L,3K,ABFHIJKL
3I,3J,3B,3F,3A,3G,3L,3K,ABFGIJKL
3H,3J,3B,3F,3A,3G,3L,3K,ABFGHJKL
3H,3G,3B,3A,3I,3F,3L,3K,ABFGHIKL
3H,3J,3B,3F,3A,3G,3L,3I,ABFGHIJL
3H,3J,3B,3F,3A,3G,3I,3K,ABFGHIJK
3E,3J,3B,3A,3I,3H,3L,3K,ABEHIJKL
3E,3J,3B,3A,3I,3G,3L,3K,ABEGIJKL
3E,3J,3B,3A,3H,3G,3L,3K,ABEGHJKL
3E,3G,3B,3A,3I,3H,3L,3K,ABEGHIKL
3E,3J,3B,3A,3H,3G,3L,3I,ABEGHIJL
3E,3J,3B,3A,3H,3G,3I,3K,ABEGHIJK
3E,3J,3B,3A,3I,3F,3L,3K,ABEFIJKL
3E,3J,3B,3F,3A,3H,3L,3K,ABEFHJKL
3E,3I,3B,3F,3A,3H,3L,3K,ABEFHIKL
3E,3J,3B,3F,3A,3H,3L,3I,ABEFHIJL
3E,3J,3B,3F,3A,3H,3I,3K,ABEFHIJK
3E,3J,3B,3F,3A,3G,3L,3K,ABEFGJKL
3E,3G,3B,3A,3I,3F,3L,3K,ABEFGIKL
3E,3J,3B,3F,3A,3G,3L,3I,ABEFGIJL
3E,3J,3B,3F,3A,3G,3I,3K,ABEFGIJK
3E,3G,3B,3F,3A,3H,3L,3K,ABEFGHKL
3H,3J,3B,3F,3A,3G,3L,3E,ABEFGHJL
3H,3J,3B,3F,3A,3G,3E,3K,ABEFGHJK
3E,3G,3B,3F,3A,3H,3L,3I,ABEFGHIL
3E,3G,3B,3F,3A,3H,3I,3K,ABEFGHIK
3H,3J,3B,3F,3A,3G,3E,3I,ABEFGHIJ
3I,3J,3B,3D,3A,3H,3L,3K,ABDHIJKL
3I,3J,3B,3D,3A,3G,3L,3K,ABDGIJKL
3H,3J,3B,3D,3A,3G,3L,3K,ABDGHJKL
3I,3G,3B,3D,3A,3H,3L,3K,ABDGHIKL
3H,3J,3B,3D,3A,3G,3L,3I,ABDGHIJL
3H,3J,3B,3D,3A,3G,3I,3K,ABDGHIJK
3I,3J,3B,3D,3A,3F,3L,3K,ABDFIJKL
3H,3J,3B,3D,3A,3F,3L,3K,ABDFHJKL
3H,3I,3B,3D,3A,3F,3L,3K,ABDFHIKL
3H,3J,3B,3D,3A,3F,3L,3I,ABDFHIJL
3H,3J,3B,3D,3A,3F,3I,3K,ABDFHIJK
3F,3J,3B,3D,3A,3G,3L,3K,ABDFGJKL
3I,3G,3B,3D,3A,3F,3L,3K,ABDFGIKL
3F,3J,3B,3D,3A,3G,3L,3I,ABDFGIJL
3F,3J,3B,3D,3A,3G,3I,3K,ABDFGIJK
3H,3G,3B,3D,3A,3F,3L,3K,ABDFGHKL
3H,3G,3B,3D,3A,3F,3L,3J,ABDFGHJL
3H,3G,3B,3D,3A,3F,3J,3K,ABDFGHJK
3H,3G,3B,3D,3A,3F,3L,3I,ABDFGHIL
3H,3G,3B,3D,3A,3F,3I,3K,ABDFGHIK
3H,3G,3B,3D,3A,3F,3I,3J,ABDFGHIJ
3E,3J,3B,3A,3I,3D,3L,3K,ABDEIJKL
3E,3J,3B,3D,3A,3H,3L,3K,ABDEHJKL
3E,3I,3B,3D,3A,3H,3L,3K,ABDEHIKL
3E,3J,3B,3D,3A,3H,3L,3I,ABDEHIJL
3E,3J,3B,3D,3A,3H,3I,3K,ABDEHIJK
3E,3J,3B,3D,3A,3G,3L,3K,ABDEGJKL
3E,3G,3B,3A,3I,3D,3L,3K,ABDEGIKL
3E,3J,3B,3D,3A,3G,3L,3I,ABDEGIJL
3E,3J,3B,3D,3A,3G,3I,3K,ABDEGIJK
3E,3G,3B,3D,3A,3H,3L,3K,ABDEGHKL
3H,3J,3B,3D,3A,3G,3L,3E,ABDEGHJL
3H,3J,3B,3D,3A,3G,3E,3K,ABDEGHJK
3E,3G,3B,3D,3A,3H,3L,3I,ABDEGHIL
3E,3G,3B,3D,3A,3H,3I,3K,ABDEGHIK
3H,3J,3B,3D,3A,3G,3E,3I,ABDEGHIJ
3E,3J,3B,3D,3A,3F,3L,3K,ABDEFJKL
3E,3I,3B,3D,3A,3F,3L,3K,ABDEFIKL
3E,3J,3B,3D,3A,3F,3L,3I,ABDEFIJL
3E,3J,3B,3D,3A,3F,3I,3K,ABDEFIJK
3H,3E,3B,3D,3A,3F,3L,3K,ABDEFHKL
3H,3J,3B,3D,3A,3F,3L,3E,ABDEFHJL
3H,3J,3B,3D,3A,3F,3E,3K,ABDEFHJK
3H,3E,3B,3D,3A,3F,3L,3I,ABDEFHIL
3H,3E,3B,3D,3A,3F,3I,3K,ABDEFHIK
3H,3J,3B,3D,3A,3F,3E,3I,ABDEFHIJ
3E,3G,3B,3D,3A,3F,3L,3K,ABDEFGKL
3E,3G,3B,3D,3A,3F,3L,3J,ABDEFGJL
3E,3G,3B,3D,3A,3F,3J,3K,ABDEFGJK
3E,3G,3B,3D,3A,3F,3L,3I,ABDEFGIL
3E,3G,3B,3D,3A,3F,3I,3K,ABDEFGIK
3E,3G,3B,3D,3A,3F,3I,3J,ABDEFGIJ
3H,3G,3B,3D,3A,3F,3L,3E,ABDEFGHL
3H,3G,3B,3D,3A,3F,3E,3K,ABDEFGHK
3H,3G,3B,3D,3A,3F,3E,3J,ABDEFGHJ
